idGrade,x,y,t_med_medio,t_max_med,t_min_med,v_vento_medio,v_rajada_max
233,-54.5,1.5,26.87,36.116,20.728,1.208,20.787
234,-54.0,1.5,26.831,35.905,20.692,1.284,21.45
235,-53.5,1.5,26.814,35.687,20.681,1.355,21.809
236,-53.0,1.5,26.772,35.607,20.681,1.421,22.574
237,-52.5,1.5,26.725,35.536,20.664,1.48,23.633
238,-52.0,1.5,26.667,35.481,20.682,1.539,24.882
239,-51.5,1.5,26.614,35.505,20.643,1.58,25.619
240,-51.0,1.5,26.671,35.474,20.635,1.586,25.035
241,-50.5,1.5,26.756,35.473,20.572,1.593,23.83
242,-50.0,1.5,26.818,35.486,20.52,1.58,22.497
243,-49.5,1.5,26.856,35.504,20.458,1.569,21.481
244,-49.0,1.5,26.904,35.516,20.403,1.589,20.799
245,-70.5,1.0,25.89,35.857,19.929,0.781,36.357
246,-70.0,1.0,25.89,35.857,19.929,0.781,36.357
247,-69.5,1.0,25.958,36.117,19.434,0.771,33.838
248,-69.0,1.0,25.946,36.072,19.52,0.773,34.277
249,-68.5,1.0,25.934,36.028,19.604,0.774,34.706
250,-68.0,1.0,25.968,36.046,19.686,0.793,34.568
251,-67.5,1.0,26.0,36.064,19.754,0.818,35.031
252,-67.0,1.0,26.0,36.067,19.744,0.818,34.998
253,-66.5,1.0,26.055,36.186,19.659,0.826,33.999
254,-66.0,1.0,26.187,36.405,19.54,0.864,32.134
255,-65.5,1.0,26.372,36.714,19.387,0.913,29.422
256,-65.0,1.0,26.501,36.972,19.16,0.944,27.378
257,-64.5,1.0,26.621,37.188,19.007,0.944,25.067
258,-64.0,1.0,26.734,37.317,18.985,0.949,23.402
259,-63.5,1.0,26.785,37.415,18.905,0.965,22.855
260,-63.0,1.0,26.826,37.444,18.987,0.977,22.613
261,-62.5,1.0,26.91,37.467,19.22,1.005,22.733
262,-62.0,1.0,26.979,37.497,19.497,1.036,23.214
263,-61.5,1.0,27.054,37.513,19.758,1.086,23.989
264,-61.0,1.0,27.098,37.463,19.979,1.12,24.429
265,-60.5,1.0,27.138,37.392,20.153,1.151,24.283
266,-60.0,1.0,27.13,37.343,20.24,1.122,23.564
267,-59.5,1.0,27.118,37.309,20.279,1.076,22.198
268,-59.0,1.0,27.094,37.24,20.33,1.032,21.179
269,-58.5,1.0,27.038,37.104,20.382,0.999,20.422
270,-58.0,1.0,26.989,36.971,20.459,0.994,19.865
271,-57.5,1.0,26.969,36.896,20.496,0.988,19.483
272,-57.0,1.0,26.938,36.782,20.537,0.993,19.506
273,-56.5,1.0,26.917,36.698,20.56,1.01,19.515
274,-56.0,1.0,26.905,36.58,20.67,1.046,19.739
275,-55.5,1.0,26.915,36.401,20.683,1.117,19.875
276,-55.0,1.0,26.895,36.269,20.703,1.153,20.167
277,-54.5,1.0,26.859,36.118,20.66,1.205,20.747
278,-54.0,1.0,26.836,35.934,20.688,1.272,21.18
279,-53.5,1.0,26.791,35.729,20.648,1.362,21.775
280,-53.0,1.0,26.771,35.611,20.658,1.43,22.725
281,-52.5,1.0,26.708,35.509,20.689,1.507,24.161
282,-52.0,1.0,26.583,35.539,20.647,1.572,26.201
283,-51.5,1.0,26.427,35.567,20.628,1.592,28.126
284,-51.0,1.0,26.594,35.452,20.686,1.63,26.577
285,-50.5,1.0,26.782,35.405,20.667,1.639,24.35
286,-50.0,1.0,26.855,35.479,20.542,1.596,22.648
287,-49.5,1.0,26.904,35.545,20.441,1.571,21.387
288,-49.0,1.0,26.939,35.544,20.388,1.573,20.478
289,-71.0,0.5,25.89,35.857,19.929,0.781,36.357
290,-70.5,0.5,25.822,35.801,19.246,0.776,33.644
291,-70.0,0.5,25.837,35.814,19.394,0.777,34.233
292,-69.5,0.5,25.912,36.045,19.168,0.77,32.874
293,-69.0,0.5,25.939,36.045,19.571,0.774,34.535
294,-68.5,0.5,25.974,36.056,19.682,0.795,34.475
295,-68.0,0.5,25.942,35.982,19.77,0.789,35.172
296,-67.5,0.5,25.939,35.95,19.848,0.797,35.737
297,-67.0,0.5,25.929,35.932,19.86,0.793,35.85
298,-66.5,0.5,25.992,36.045,19.797,0.809,34.856
299,-66.0,0.5,26.149,36.318,19.639,0.849,32.491
300,-65.5,0.5,26.317,36.642,19.377,0.889,29.749
301,-65.0,0.5,26.486,36.965,19.113,0.9,26.463
302,-64.5,0.5,26.603,37.179,18.861,0.91,24.032
303,-64.0,0.5,26.678,37.359,18.647,0.904,22.33
304,-63.5,0.5,26.694,37.438,18.487,0.891,21.306
305,-63.0,0.5,26.739,37.481,18.517,0.891,20.791
