idGrade,x,y
359,-59.5,0.0
360,-59.0,0.0
361,-58.5,0.0
362,-58.0,0.0
363,-57.5,0.0
364,-57.0,0.0
365,-56.5,0.0
366,-56.0,0.0
367,-55.5,0.0
368,-55.0,0.0
369,-54.5,0.0
370,-54.0,0.0
371,-53.5,0.0
372,-53.0,0.0
373,-52.5,0.0
374,-52.0,0.0
375,-51.5,0.0
376,-51.0,0.0
377,-50.5,0.0
378,-50.0,0.0
379,-49.5,0.0
380,-49.0,0.0
381,-48.5,0.0
382,-48.0,0.0
383,-47.5,0.0
384,-47.0,0.0
385,-46.5,0.0
386,-46.0,0.0
387,-70.5,-0.5
388,-70.0,-0.5
389,-69.5,-0.5
390,-69.0,-0.5
391,-68.5,-0.5
392,-68.0,-0.5
393,-67.5,-0.5
394,-67.0,-0.5
395,-66.5,-0.5
396,-66.0,-0.5
397,-65.5,-0.5
398,-65.0,-0.5
399,-64.5,-0.5
400,-64.0,-0.5
401,-63.5,-0.5
402,-63.0,-0.5
403,-62.5,-0.5
404,-62.0,-0.5
405,-61.5,-0.5
406,-61.0,-0.5
407,-60.5,-0.5
408,-60.0,-0.5
409,-59.5,-0.5
410,-59.0,-0.5
411,-58.5,-0.5
412,-58.0,-0.5
413,-57.5,-0.5
414,-57.0,-0.5
415,-56.5,-0.5
416,-56.0,-0.5
417,-55.5,-0.5
418,-55.0,-0.5
419,-54.5,-0.5
420,-54.0,-0.5
421,-53.5,-0.5
422,-53.0,-0.5
423,-52.5,-0.5
424,-52.0,-0.5
425,-51.5,-0.5
426,-51.0,-0.5
427,-50.5,-0.5
428,-50.0,-0.5
429,-49.5,-0.5
430,-49.0,-0.5
431,-48.5,-0.5
432,-48.0,-0.5
433,-47.5,-0.5
434,-47.0,-0.5
435,-46.5,-0.5
436,-46.0,-0.5
437,-45.5,-0.5
438,-45.0,-0.5
439,-44.5,-0.5
440,-70.5,-1.0
441,-70.0,-1.0
442,-69.5,-1.0
443,-69.0,-1.0
444,-68.5,-1.0
445,-68.0,-1.0
446,-67.5,-1.0
447,-67.0,-1.0
448,-66.5,-1.0
449,-66.0,-1.0
450,-65.5,-1.0
451,-65.0,-1.0
452,-64.5,-1.0
453,-64.0,-1.0
454,-63.5,-1.0
455,-63.0,-1.0
456,-62.5,-1.0
457,-62.0,-1.0
458,-61.5,-1.0
459,-61.0,-1.0
460,-60.5,-1.0
461,-60.0,-1.0
462,-59.5,-1.0
463,-59.0,-1.0
464,-58.5,-1.0
465,-58.0,-1.0
466,-57.5,-1.0
467,-57.0,-1.0
468,-56.5,-1.0
469,-56.0,-1.0
470,-55.5,-1.0
471,-55.0,-1.0
472,-54.5,-1.0
473,-54.0,-1.0
474,-53.5,-1.0
475,-53.0,-1.0
476,-52.5,-1.0
477,-52.0,-1.0
478,-51.5,-1.0
479,-51.0,-1.0
480,-50.5,-1.0
481,-50.0,-1.0
482,-49.5,-1.0
483,-49.0,-1.0
484,-48.5,-1.0
485,-48.0,-1.0
486,-47.5,-1.0
487,-47.0,-1.0
488,-46.5,-1.0
489,-46.0,-1.0
490,-45.5,-1.0
491,-45.0,-1.0
492,-44.5,-1.0
493,-44.0,-1.0
494,-70.0,-1.5
495,-69.5,-1.5
496,-69.0,-1.5
497,-68.5,-1.5
498,-68.0,-1.5
499,-67.5,-1.5
500,-67.0,-1.5
501,-66.5,-1.5
502,-66.0,-1.5
503,-65.5,-1.5
504,-65.0,-1.5
505,-64.5,-1.5
506,-64.0,-1.5
507,-63.5,-1.5
508,-63.0,-1.5
509,-62.5,-1.5
510,-62.0,-1.5
511,-61.5,-1.5
512,-61.0,-1.5
513,-60.5,-1.5
514,-60.0,-1.5
515,-59.5,-1.5
516,-59.0,-1.5
517,-58.5,-1.5
518,-58.0,-1.5
519,-57.5,-1.5
520,-57.0,-1.5
521,-56.5,-1.5
522,-56.0,-1.5
523,-55.5,-1.5
524,-55.0,-1.5
525,-54.5,-1.5
526,-54.0,-1.5
