,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,t_med_medio,v_vento_medio,ini_temp,fim_temp,ini_vento,fim_vento
309,7843575,Surubim,Inmet,-35.80106,-7.83963,421.44,24.732565877352748,3.121571038251365,2011-11-04,2021-08-25,2011-11-04,2021-08-25
310,6753822,São Gonçalo,Inmet,-38.31158,-6.83578,237.04,27.562262902246502,1.8564998482088646,2011-11-09,2021-08-25,2011-11-09,2021-08-25
311,8444386,Alvorada do Gurguéia,Inmet,-43.86544,-8.4416,261.26,27.696662188828192,1.4315670157862792,2011-10-31,2021-07-24,2011-10-31,2021-07-24
312,9284332,Caracol,Inmet,-43.32444,-9.28588,515.3,26.224286885245903,2.2583285519125695,2011-10-31,2021-08-25,2011-10-31,2021-08-25
313,4783777,Jaguaruana,Inmet,-37.77719,-4.85351,16.57,28.069034532483297,2.6635109289617507,2011-11-01,2021-08-25,2011-11-01,2021-08-25
314,8293596,Caruaru,Inmet,-35.98555,-8.23607,570.05,22.674795266285027,3.1115984582357554,2011-12-15,2021-01-25,2011-12-15,2021-01-25
315,9034270,São Raimundo Nonato,Inmet,-42.70111,-9.03321,383.13,27.684182452944768,2.084587887067395,2011-11-14,2021-08-25,2011-11-14,2021-08-25
316,7474434,Uruçui,Inmet,-44.34506,-7.44142,398.83,26.605033545840914,0.814527625986643,2011-11-27,2021-05-07,2011-12-15,2021-05-07
317,7483628,Cabaceiras,Inmet,-36.28647,-7.48321,391.96,25.62306322100789,2.918868321190044,2011-11-17,2021-02-08,2011-11-17,2021-02-08
318,8503771,Ibimirim,Inmet,-37.71159,-8.50955,434.23,26.06753339404979,3.07329447480267,2011-12-15,2021-08-25,2011-12-15,2021-08-25
319,7953829,Serra Talhada,Inmet,-38.29508,-7.95428,499.02,26.128771512943633,2.5198551774576354,2000-01-01,2021-07-11,2000-01-01,2021-07-11
320,6974214,Oeiras,Inmet,-42.14683,-6.97414,154.03,28.12943392748722,2.0014790961922113,2011-12-15,2020-12-14,2011-12-15,2020-12-14
321,10123628,Coruripe,Inmet,-36.28635,-10.12848,82.39,26.43689261861394,2.346950461878741,2011-12-15,2020-12-03,2011-12-15,2020-12-03
322,9283556,São Luis do Quitunde,Inmet,-35.56588,-9.28748,13.69,25.423042653309036,1.964402777777779,2011-10-31,2021-08-25,2011-10-31,2021-08-25
323,8663556,Palmares,Inmet,-35.56792,-8.66667,164.01,24.76591638476884,2.101398321623729,2011-10-31,2021-08-25,2011-10-31,2021-08-25
324,5903862,Jaguaribe,Inmet,-38.62779,-5.90559,149.31,29.2790196461098,2.815584124815682,2011-10-31,2020-07-27,2011-10-31,2020-07-27
325,9874534,Gilbués,Inmet,-45.34581,-9.8752,425.1,28.235336108942672,2.3492525912915276,2011-10-31,2020-08-02,2011-10-31,2020-08-02
326,8114297,Canto do Buriti,Inmet,-42.97572,-8.11794,312.07,27.6782635853066,2.679075960621042,2011-10-31,2021-08-25,2011-10-31,2021-08-25
327,7884010,Ouricuri,Inmet,-40.10268,-7.88583,457.85,27.147178278688518,3.1066100160464916,2011-12-15,2021-08-25,2011-12-15,2021-08-25
328,12393909,Cruz das Almas,Inmet,-39.08958,-12.67542,219.76,24.2784664216324,2.621175199496919,2011-10-23,2021-04-21,2011-10-23,2021-04-21
329,13314007,Itiruçu,Inmet,-40.11975,-13.52783,757.42,21.026467603434813,2.2924877591291533,2011-10-23,2021-08-25,2011-10-23,2021-08-25
330,12314017,Itaberaba,Inmet,-40.29971,-12.52406,250.11,25.658918943533674,2.1090916818457823,2011-10-23,2021-08-25,2011-10-23,2021-08-25
331,10573703,Aracaju,Inmet,-37.05433,-10.95241,3.72,26.77840467516696,2.4737400793650797,2011-10-23,2021-08-25,2011-10-23,2021-08-25
332,14393909,Ilhéus,Inmet,-39.18144,-14.6588,80.21,23.449744828259195,2.1964780119698157,2011-10-23,2021-08-25,2011-10-23,2019-06-17
333,12074021,Macajuba,Inmet,-40.35422,-12.13169,338.85,24.903536050394656,2.6824779902853675,2011-10-23,2021-08-25,2011-10-23,2021-08-25
334,12153858,Feira de Santana,Inmet,-38.96738,-12.1962,229.64,24.68243766805444,2.4769502125075884,2011-10-23,2021-03-21,2011-10-23,2021-03-21
335,14534048,Vitória da Conquista,Inmet,-40.80133,-14.88643,879.38,20.577805718188916,2.4812531225604997,2011-10-23,2021-04-13,2011-10-23,2021-04-13
336,13334461,Correntina,Inmet,-44.61738,-13.33239,551.71,24.740834363344597,1.5342721506635446,2011-10-25,2021-08-25,2011-10-25,2021-08-25
337,11163747,Itabaianinha,Inmet,-37.795,-11.2725,204.8,24.606181639777965,2.618757459450082,2011-10-24,2021-08-25,2011-10-24,2021-08-25
338,9604210,Remanso,Inmet,-42.07721,-9.62569,397.4,27.368083680284503,3.4948933450429376,2011-11-28,2021-08-25,2011-11-28,2021-08-25
339,12554138,Lençóis,Inmet,-41.38881,-12.55785,438.09,24.85390809046752,0.9653041135397703,2011-11-28,2021-08-25,2011-11-28,2021-08-25
340,16383918,Porto Seguro,Inmet,-39.18239,-16.38898,86.36,23.49949816766416,1.4379030054644817,2011-12-15,2020-08-13,2011-12-15,2020-08-13
341,10444014,Senhor do Bonfim,Inmet,-40.14824,-10.44307,532.09,24.201363919247118,2.724003989938418,2011-12-15,2021-08-25,2011-12-15,2021-08-25
342,26445383,São Miguel do Oeste,Inmet,-53.50454,-26.7767,654.51,19.748074898689666,2.815348892910369,2008-03-11,2021-08-25,2008-03-11,2021-08-25
343,11084313,Barra,Inmet,-43.139,-11.08486,407.5,27.889813221007888,1.8509760928961763,2011-11-28,2021-08-25,2011-11-28,2021-08-25
344,13154177,Piatã,Inmet,-41.77413,-13.15568,1283.95,19.678940194292665,2.5652972070431077,2011-12-15,2021-08-25,2011-12-15,2021-08-25
345,11813761,Conde,Inmet,-37.68389,-12.03583,31.9,25.82909869676468,2.6973787514094876,2011-12-15,2021-02-27,2011-12-15,2021-02-27
