,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,ini_temp,fim_temp,ini_vento,fim_vento
294,3463833,Fortaleza,Inmet,-38.53779,-3.8157,29.55,2011-10-24,2021-08-25,2011-10-24,2021-08-25
296,9234029,Petrolina,Inmet,-40.52326,-9.38832,372.72,2011-10-23,2021-08-25,2011-10-23,2021-08-25
297,3054147,Parnaíba,Inmet,-41.78314,-3.08666,52.11,2011-10-24,2021-08-25,2011-10-24,2021-08-25
298,8263703,Arco Verde,Inmet,-37.05548,-8.43354,683.95,2011-10-24,2021-08-25,2012-05-14,2021-08-25
299,6583542,Areia,Inmet,-35.71813,-6.97545,573.45,2011-10-24,2021-08-25,2011-10-24,2021-08-25
301,5044248,Teresina,Inmet,-42.80134,-5.03477,75.23,2011-12-15,2021-08-25,2011-12-15,2021-08-25
302,7133554,Campina Grande,Inmet,-35.90483,-7.22557,546.17,2011-10-29,2021-08-25,2011-10-29,2021-08-25
303,7183916,Barbalha,Inmet,-39.27111,-7.30093,409.41,2011-10-24,2021-08-07,2011-10-24,2021-08-07
304,6273706,Caicó,Inmet,-37.08493,-6.46747,171.26,2011-10-29,2021-08-25,2011-10-29,2021-08-25
307,6233916,Iguatu,Inmet,-39.26895,-6.39638,221.56,2000-01-01,2021-08-25,2000-01-01,2021-08-25
309,7043716,Patos,Inmet,-37.27282,-7.07984,263.66,2011-10-24,2021-08-01,2011-10-24,2021-08-01
310,7843575,Surubim,Inmet,-35.80106,-7.83963,421.44,2011-11-04,2021-08-25,2011-11-04,2021-08-25
311,6753822,São Gonçalo,Inmet,-38.31158,-6.83578,237.04,2011-11-09,2021-08-25,2011-11-09,2021-08-25
312,8444386,Alvorada do Gurguéia,Inmet,-43.86544,-8.4416,261.26,2011-10-31,2021-07-24,2011-10-31,2021-07-24
313,9284332,Caracol,Inmet,-43.32444,-9.28588,515.3,2011-10-31,2021-08-25,2011-10-31,2021-08-25
314,4783777,Jaguaruana,Inmet,-37.77719,-4.85351,16.57,2011-11-01,2021-08-25,2011-11-01,2021-08-25
316,9034270,São Raimundo Nonato,Inmet,-42.70111,-9.03321,383.13,2011-11-14,2021-08-25,2011-11-14,2021-08-25
319,8503771,Ibimirim,Inmet,-37.71159,-8.50955,434.23,2011-12-15,2021-08-25,2011-12-15,2021-08-25
320,7953829,Serra Talhada,Inmet,-38.29508,-7.95428,499.02,2000-01-01,2021-07-11,2000-01-01,2021-07-11
323,9283556,São Luis do Quitunde,Inmet,-35.56588,-9.28748,13.69,2011-10-31,2021-08-25,2011-10-31,2021-08-25
324,8663556,Palmares,Inmet,-35.56792,-8.66667,164.01,2011-10-31,2021-08-25,2011-10-31,2021-08-25
327,8114297,Canto do Buriti,Inmet,-42.97572,-8.11794,312.07,2011-10-31,2021-08-25,2011-10-31,2021-08-25
328,7884010,Ouricuri,Inmet,-40.10268,-7.88583,457.85,2011-12-15,2021-08-25,2011-12-15,2021-08-25
330,13314007,Itiruçu,Inmet,-40.11975,-13.52783,757.42,2011-10-23,2021-08-25,2011-10-23,2021-08-25
331,12314017,Itaberaba,Inmet,-40.29971,-12.52406,250.11,2011-10-23,2021-08-25,2011-10-23,2021-08-25
332,10573703,Aracaju,Inmet,-37.05433,-10.95241,3.72,2011-10-23,2021-08-25,2011-10-23,2021-08-25
333,14393909,Ilhéus,Inmet,-39.18144,-14.6588,80.21,2011-10-23,2021-08-25,2011-10-23,2019-06-17
334,12074021,Macajuba,Inmet,-40.35422,-12.13169,338.85,2011-10-23,2021-08-25,2011-10-23,2021-08-25
337,13334461,Correntina,Inmet,-44.61738,-13.33239,551.71,2011-10-25,2021-08-25,2011-10-25,2021-08-25
338,11163747,Itabaianinha,Inmet,-37.795,-11.2725,204.8,2011-10-24,2021-08-25,2011-10-24,2021-08-25
339,9604210,Remanso,Inmet,-42.07721,-9.62569,397.4,2011-11-28,2021-08-25,2011-11-28,2021-08-25
340,12554138,Lençóis,Inmet,-41.38881,-12.55785,438.09,2011-11-28,2021-08-25,2011-11-28,2021-08-25
342,10444014,Senhor do Bonfim,Inmet,-40.14824,-10.44307,532.09,2011-12-15,2021-08-25,2011-12-15,2021-08-25
343,26445383,São Miguel do Oeste,Inmet,-53.50454,-26.7767,654.51,2008-03-11,2021-08-25,2008-03-11,2021-08-25
344,11084313,Barra,Inmet,-43.139,-11.08486,407.5,2011-11-28,2021-08-25,2011-11-28,2021-08-25
345,13154177,Piatã,Inmet,-41.77413,-13.15568,1283.95,2011-12-15,2021-08-25,2011-12-15,2021-08-25
347,10983961,Queimadas,Inmet,-39.61701,-10.98465,310.11,2011-12-15,2021-08-25,2011-12-15,2021-08-25
348,15283909,Una,Inmet,-39.09127,-15.28022,74.08,2000-01-01,2021-08-25,2000-01-01,2021-08-25
350,12194321,Ibotirama,Inmet,-43.21342,-12.19306,425.12,2011-12-10,2021-08-25,2011-12-10,2021-08-25
352,11663902,Serrinha,Inmet,-39.02295,-11.66459,337.79,2011-12-15,2021-07-31,2011-12-15,2021-07-31
353,10533899,Euclides da Cunha,Inmet,-38.99661,-10.53723,431.96,2011-11-30,2021-08-25,2011-11-30,2021-08-25
355,13343912,Valença,Inmet,-39.12667,-13.34361,93.12,2000-01-01,2021-08-18,2000-01-01,2021-08-18
359,9003991,Curaçá,Inmet,-39.9124,-9.0013,370.0,2015-08-19,2021-08-25,2015-08-19,2021-08-25
361,21134346,Barbacena,Inmet,-43.7677,-21.22837,1168.76,2003-03-20,2021-08-25,2003-03-20,2021-08-25
362,19364656,Araxá,Inmet,-46.94962,-19.6057,1018.32,2002-12-19,2021-08-25,2002-12-19,2021-08-25
363,16434353,Montes Claros,Inmet,-43.84376,-16.68632,645.87,2002-12-18,2021-08-25,2002-12-18,2021-08-25
364,18554815,Uberlândia,Inmet,-48.25566,-18.91707,874.77,2003-03-20,2021-08-25,2003-03-20,2021-08-25
365,16174041,Almenara,Inmet,-40.68776,-16.16677,189.11,2006-12-06,2021-08-25,2006-12-06,2021-08-25
366,22514602,Monte Verde,Inmet,-46.04337,-22.8616,1544.89,2004-12-19,2021-08-25,2004-12-19,2021-08-25
367,20464252,Viçosa,Inmet,-42.86401,-20.76261,697.64,2005-09-15,2021-08-25,2005-09-15,2021-08-25
368,19344238,Timóteo,Inmet,-42.62241,-19.57382,493.42,2006-02-24,2021-08-25,2006-02-24,2021-08-25
370,21064223,Muriaé,Inmet,-42.3759,-21.10487,282.79,2006-12-04,2021-08-25,2006-08-29,2021-08-25
371,21464321,Juiz de Fora,Inmet,-43.36433,-21.76997,936.88,2007-06-12,2021-08-25,2007-06-12,2021-08-25
372,19324932,Campina Verde,Inmet,-49.51813,-19.53921,559.07,2006-12-04,2021-08-25,2006-12-04,2021-08-25
373,19594809,Conceição das Alagoas,Inmet,-48.15157,-19.98586,572.54,2006-12-04,2021-08-25,2006-12-04,2021-08-25
374,19534358,Belo Horizonte - Pampulha,Inmet,-43.9694,-19.88395,854.02,2006-12-04,2021-08-25,2006-12-04,2021-08-25
376,19004658,Patrocíonio,Inmet,-46.98594,-18.99668,978.11,2006-12-04,2021-08-25,2006-12-04,2021-08-25
377,20274527,Formiga,Inmet,-45.45383,-20.45493,878.14,2006-12-04,2021-08-25,2006-12-04,2021-08-25
378,19534726,Sacramento,Inmet,-47.4341,-19.87527,913.12,2006-12-04,2021-08-25,2006-12-04,2021-08-25
380,17544131,Teófilo Otoni,Inmet,-41.51542,-17.89284,467.17,2006-12-04,2021-08-25,2006-12-04,2021-08-25
381,18124528,Três Marias,Inmet,-45.45984,-18.20086,931.01,2006-12-04,2021-08-25,2006-12-04,2021-08-25
382,22234457,Passa Quatro,Inmet,-44.96191,-22.3958,1017.1,2007-07-03,2021-08-25,2007-07-03,2021-08-25
383,21554622,Caldas,Inmet,-46.383,-21.91807,1077.34,2007-05-30,2021-08-25,2007-05-30,2021-08-25
384,22184522,Maria da Fé,Inmet,-45.37305,-22.31457,1281.43,2006-12-09,2021-08-25,2006-12-09,2021-08-25
385,18474159,Governador Valadares,Inmet,-41.97701,-18.83035,198.24,2007-07-03,2021-08-25,2007-07-03,2021-08-25
386,18474256,Guanhães,Inmet,-42.94292,-18.78684,852.68,2007-07-03,2021-08-25,2007-07-03,2021-08-25
388,19284535,Dores do Indaiá,Inmet,-45.59393,-19.48194,721.09,2007-07-08,2021-08-25,2007-07-08,2021-08-25
389,18134338,Diamantina,Inmet,-43.64827,-18.23105,1359.25,2007-07-03,2021-08-25,2007-07-03,2021-08-25
390,18444427,Curvelo,Inmet,-44.45379,-18.74771,669.48,2007-07-03,2021-08-25,2007-07-03,2021-08-25
391,15054402,Mocambinho,Inmet,-44.01604,-15.08596,454.0,2007-11-19,2021-08-25,2007-11-19,2021-08-25
394,21544326,Coronel Pacheco,Inmet,-43.26103,-21.54673,411.14,2012-11-07,2021-08-25,2012-11-07,2021-08-25
396,22484341,Seropédica - Ecologia Agrícola,Inmet,-43.68484,-22.75787,34.64,2006-12-04,2021-08-25,2006-12-04,2021-08-25
397,23034336,Rio de Janeiro - Marambaia,Inmet,-43.59569,-23.05033,9.16,2006-12-04,2021-08-25,2006-12-04,2021-08-25
398,22354316,Duque de Caxias - Xerém,Inmet,-43.28223,-22.58981,24.35,2006-12-03,2021-08-25,2006-12-04,2021-08-25
399,21344157,Cambuci,Inmet,-41.95833,-21.58773,59.94,2005-03-25,2021-08-25,2006-12-04,2021-08-25
400,22584200,Arraial do Cabo,Inmet,-42.02145,-22.97547,3.34,2006-12-04,2021-08-25,2006-12-04,2021-08-25
401,21424121,Campos,Inmet,-41.34402,-21.71477,16.67,2006-12-04,2021-08-25,2006-12-04,2021-08-25
402,22234149,Macaé,Inmet,-41.81205,-22.37632,24.61,2006-12-04,2021-08-08,2006-12-04,2021-08-08
403,22274427,Resende,Inmet,-44.44479,-22.45092,438.83,2006-12-04,2021-08-25,2006-12-04,2021-08-25
405,22214342,Valença,Inmet,-43.69566,-22.35809,367.21,2006-12-04,2021-08-25,2006-12-04,2021-08-25
406,20164018,Vitória,Inmet,-40.30607,-20.27109,9.0,2006-12-04,2021-08-25,2006-12-04,2021-08-25
407,19594035,Santa Teresa,Inmet,-40.57957,-19.98839,975.92,2000-01-01,2021-08-25,2000-01-01,2021-08-25
408,19214004,Linhares,Inmet,-40.06868,-19.35692,37.82,2006-12-04,2021-08-25,2006-12-04,2021-08-25
409,20384044,Alfredo Chaves,Inmet,-40.74182,-20.63653,14.19,2006-12-04,2021-08-25,2006-12-04,2021-08-25
410,18423950,São Mateus,Inmet,-39.86405,-18.6762,28.66,2006-12-01,2021-08-25,2006-12-01,2021-08-25
411,22264259,Teresópolis - Parque Nacional,Inmet,-42.98715,-22.44892,991.44,2007-07-03,2021-08-25,2007-07-03,2021-08-25
412,23134443,Paraty,Inmet,-44.72686,-23.22354,3.0,2007-03-30,2021-08-25,2007-03-30,2021-08-25
413,22374105,Campos - São Tomé,Inmet,-41.05187,-22.04165,7.18,2008-06-13,2021-08-25,2008-06-13,2021-08-25
414,22514324,Rio de Janeiro - Vila Militar,Inmet,-43.41141,-22.86132,30.43,2007-07-03,2021-08-25,2007-07-03,2021-08-25
415,21104103,Presidente Kennedy,Inmet,-41.0394,-21.10081,69.12,2008-06-18,2021-08-25,2008-06-17,2021-08-25
416,18694039,Nova Venécia,Inmet,-40.39057,-18.69527,156.02,2008-06-21,2021-08-25,2008-06-21,2021-08-25
417,22274252,Nova Friburgo-Salinas,Inmet,-42.67693,-22.33484,1065.08,2010-10-02,2021-08-25,2010-10-02,2021-08-25
418,22984319,Rio de Janeiro - Forte de Copacabana,Inmet,-43.19044,-22.98829,25.59,2007-07-03,2021-08-25,2007-07-03,2021-08-25
420,22644260,Silva Jardim,Inmet,-42.41578,-22.64591,19.0,2015-08-28,2021-08-25,2015-08-28,2021-08-25
421,22874261,Saquarema - Sampaio Correia,Inmet,-42.60922,-22.87132,26.0,2015-09-02,2021-08-25,2015-09-02,2021-08-25
422,23304637,São Paulo (Mirante de Santana),Inmet,-46.62009,-23.49629,785.64,2006-12-04,2021-08-25,2006-12-04,2021-08-25
423,20275436,Campo Grande,Inmet,-54.72262,-20.4472,528.47,2006-12-04,2021-08-25,2006-12-04,2021-08-25
424,22325532,Ponta Porã,Inmet,-55.71632,-22.55245,668.0,2000-01-01,2021-08-25,2000-01-01,2021-08-25
