idGrade,x,y,t_med_medio,v_vento_medio
301,-50.0,-1.0,26.843,1.371
302,-49.5,-1.0,26.959,1.461
303,-49.0,-1.0,27.093,1.565
304,-48.5,-1.0,27.237,1.722
305,-48.0,-1.0,26.905,1.368
306,-47.5,-1.0,27.023,1.632
307,-47.0,-1.0,26.98,1.625
308,-46.5,-1.0,26.951,1.623
309,-69.0,-1.5,25.994,0.856
310,-68.5,-1.5,25.994,0.837
311,-68.0,-1.5,25.991,0.826
312,-67.5,-1.5,26.05,0.815
313,-67.0,-1.5,26.123,0.829
314,-66.5,-1.5,26.189,0.837
315,-66.0,-1.5,26.352,0.87
316,-65.5,-1.5,26.463,0.886
317,-65.0,-1.5,26.567,0.892
318,-64.5,-1.5,26.643,0.871
319,-64.0,-1.5,26.616,0.838
320,-63.5,-1.5,26.56,0.789
321,-63.0,-1.5,26.504,0.756
322,-62.5,-1.5,26.583,0.784
323,-62.0,-1.5,26.736,0.841
324,-61.5,-1.5,26.83,0.871
325,-61.0,-1.5,26.842,0.871
326,-60.5,-1.5,26.775,0.817
327,-60.0,-1.5,26.718,0.774
328,-59.5,-1.5,26.775,0.792
329,-59.0,-1.5,26.873,0.804
330,-58.5,-1.5,26.981,0.795
331,-58.0,-1.5,27.06,0.79
332,-57.5,-1.5,27.084,0.776
333,-57.0,-1.5,27.051,0.763
334,-56.5,-1.5,26.957,0.737
335,-56.0,-1.5,26.767,0.601
336,-55.5,-1.5,26.645,0.468
337,-55.0,-1.5,26.784,0.966
338,-54.5,-1.5,27.042,1.696
339,-54.0,-1.5,27.207,2.108
340,-53.5,-1.5,26.993,1.778
341,-53.0,-1.5,26.779,1.463
342,-52.5,-1.5,26.675,1.341
343,-52.0,-1.5,26.662,1.312
344,-51.5,-1.5,26.684,1.288
345,-51.0,-1.5,26.645,1.194
346,-50.5,-1.5,26.494,1.016
347,-50.0,-1.5,26.773,1.254
348,-49.5,-1.5,26.995,1.414
349,-49.0,-1.5,26.964,1.319
350,-48.5,-1.5,26.847,0.847
351,-48.0,-1.5,26.762,1.173
352,-47.5,-1.5,26.684,1.509
353,-47.0,-1.5,26.373,1.784
354,-46.5,-1.5,26.76,1.684
355,-46.0,-1.5,26.9,1.817
356,-45.5,-1.5,26.957,2.186
357,-69.5,-2.0,25.965,0.926
358,-69.0,-2.0,25.993,0.885
359,-68.5,-2.0,26.006,0.874
360,-68.0,-2.0,26.02,0.861
361,-67.5,-2.0,26.104,0.872
362,-67.0,-2.0,26.208,0.885
363,-66.5,-2.0,26.289,0.871
364,-66.0,-2.0,26.433,0.899
365,-65.5,-2.0,26.535,0.911
366,-65.0,-2.0,26.604,0.917
367,-64.5,-2.0,26.663,0.892
368,-64.0,-2.0,26.691,0.882
369,-63.5,-2.0,26.686,0.858
370,-63.0,-2.0,26.684,0.849
371,-62.5,-2.0,26.747,0.86
372,-62.0,-2.0,26.836,0.889
373,-61.5,-2.0,26.894,0.909
374,-61.0,-2.0,26.886,0.9
375,-60.5,-2.0,26.742,0.8
376,-60.0,-2.0,26.557,0.668
377,-59.5,-2.0,26.662,0.769
378,-59.0,-2.0,26.83,0.792
379,-58.5,-2.0,27.018,0.779
380,-58.0,-2.0,27.184,0.754
381,-57.5,-2.0,27.216,0.737
382,-57.0,-2.0,27.186,0.703
383,-56.5,-2.0,27.085,0.686
384,-56.0,-2.0,26.773,0.535
385,-55.5,-2.0,26.535,0.196
386,-55.0,-2.0,26.718,0.985
387,-54.5,-2.0,27.09,1.924
388,-54.0,-2.0,27.642,2.929
389,-53.5,-2.0,27.053,1.927
390,-53.0,-2.0,26.683,1.408
391,-52.5,-2.0,26.536,1.247
392,-52.0,-2.0,26.547,1.222
393,-51.5,-2.0,26.621,1.215
394,-51.0,-2.0,26.639,1.173
395,-50.5,-2.0,26.59,1.095
396,-50.0,-2.0,26.952,1.356
397,-49.5,-2.0,27.432,1.665
398,-49.0,-2.0,27.038,1.393
399,-48.5,-2.0,26.836,1.22
400,-48.0,-2.0,26.772,1.293
401,-47.5,-2.0,26.614,1.521
402,-47.0,-2.0,26.328,1.767
403,-46.5,-2.0,26.693,1.675
404,-46.0,-2.0,26.893,1.78
405,-45.5,-2.0,26.967,2.042
406,-45.0,-2.0,27.007,1.975
407,-69.5,-2.5,25.894,0.922
408,-69.0,-2.5,25.92,0.912
409,-68.5,-2.5,25.948,0.903
