,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
117,660.0,6394173.0,Valença do Piauí,Inmet,M,-41.73995,-6.39927,313.39,2009-04-18
118,661.0,14234213.0,Brumado,Inmet,M,-41.67228,-14.18189,473.37,2008-04-28
119,662.0,19884441.0,Florestal,Inmet,M,-44.41688,-19.8854,753.5,2008-06-05
120,663.0,20554854.0,Barretos,Inmet,M,-48.545,-20.55918,534.36,2010-06-19
121,664.0,22855460.0,Juti,Inmet,M,-54.60563,-22.85721,375.18,2008-06-17
122,670.0,29705469.0,São Vicente do Sul,Inmet,M,-54.69432,-29.70211,134.0,2016-04-07
123,702.0,10733810.0,Poço Verde,Inmet,M,-38.10839,-10.73802,367.01,2008-04-03
124,703.0,10393774.0,Carira,Inmet,M,-37.7475,-10.39972,289.92,2008-03-28
125,704.0,10423647.0,Brejo Grande,Inmet,M,-36.48205,-10.47396,6.11,2008-07-16
126,705.0,17963869.0,Abrolhos,Inmet,M,-38.70329,-17.96302,20.93,2008-07-18
127,706.0,11324186.0,Irecê,Inmet,M,-41.8645,-11.329,768.42,2008-04-02
128,707.0,18464059.0,Mantena,Inmet,M,-40.98651,-18.78062,254.91,2007-08-01
129,715.0,6084272.0,Angical do Piaui,Inmet,M,-42.72739,-6.08941,183.0,2019-11-14
130,725.0,17345236.0,Mineiros,Inmet,M,-52.59648,-17.56932,712.83,2007-11-24
131,730.0,22674500.0,Cachoeira Paulista,Inmet,M,-45.00544,-22.689,586.0,2017-10-20
132,733.0,8776733.0,Boca do Acre,Inmet,M,-67.33256,-8.7768,111.98,2008-07-15
133,734.0,3296062.0,Manacapuru,Inmet,M,-60.6284,-3.29464,36.57,2008-04-10
134,735.0,17424223.0,Capelinha,Inmet,M,-42.38926,-17.7055,932.06,2007-08-31
136,746.0,22954653.0,Bragança Paulista,Inmet,M,-46.5305,-22.95197,891.0,2017-12-20
137,750.0,21934260.0,Carmo,Inmet,M,-42.60092,-21.93864,293.0,2018-10-11
138,753.0,21954201.0,Santa Madalena,Inmet,M,-42.01056,-21.95061,517.0,2018-10-16
139,778.0,16334652.0,Unaí,Inmet,M,-46.88194,-16.5541,640.85,2007-06-15
140,780.0,10434592.0,Mateiros,Inmet,M,-45.92194,-10.43444,791.0,2012-10-25
142,782.0,8154663.0,Campos Lindos,Inmet,M,-46.63932,-8.15467,426.56,2012-10-30
143,783.0,8957278.0,Marechal Thaumaturgo,Inmet,M,-72.78678,-8.95001,220.98,2009-10-27
144,784.0,8147034.0,Feijó,Inmet,M,-70.34359,-8.14265,157.17,2009-09-25
146,786.0,15314626.0,Buritis,Inmet,M,-46.43554,-15.52426,894.0,2007-06-19
148,808.0,19984395.0,Belo Horizonte - Cercadinho,Inmet,M,-43.9586,-19.98,1214.0,2013-12-27
149,833.0,16425114.0,Iporá,Inmet,M,-51.1488,-16.42306,610.41,2013-06-24
150,834.0,35108.0,Macapá,Inmet,M,-51.08876,0.03502,16.62,2013-12-10
151,835.0,17154450.0,Pirapora,Inmet,M,-44.8356,-17.25806,505.32,2007-07-04
152,836.0,17334711.0,Guarda-Mor,Inmet,M,-47.19925,-17.56135,997.01,2007-07-11
153,837.0,16214507.0,São Romão,Inmet,M,-45.1238,-16.36275,490.29,2007-06-30
154,873.0,15454127.0,Águas Vermelhas,Inmet,M,-41.45779,-15.75154,754.07,2007-09-09
156,875.0,7114992.0,Xinguara,Inmet,M,-49.92607,-7.11052,245.0,2016-09-11
157,876.0,10004247.0,Pilão Arcado,Inmet,M,-42.47364,-10.00226,400.0,2016-06-02
158,877.0,16344129.0,Itaobim,Inmet,M,-41.48559,-16.57567,271.63,2007-09-05
159,878.0,15434226.0,Rio Pardo de Minas,Inmet,M,-42.43575,-15.72314,850.06,2007-11-17
160,879.0,17433955.0,Itamaraju,Inmet,M,-39.55086,-17.43667,110.0,2016-04-10
161,880.0,16094218.0,Salinas,Inmet,M,-42.31027,-16.16033,487.14,2007-09-14
162,881.0,17474607.0,João Pinheiro,Inmet,M,-46.11939,-17.78477,877.05,2007-07-07
163,882.0,19444208.0,Caratinga,Inmet,M,-42.13715,-19.73576,609.25,2007-05-23
164,923.0,27385120.0,Campos Novos,Inmet,M,-51.21606,-27.38386,963.0,2019-02-15
165,924.0,27075263.0,Chapecó,Inmet,M,-52.63571,-27.08531,679.0,2019-02-18
166,925.0,10203743.0,Nossa Senhora da Glória,Inmet,M,-37.43189,-10.20778,271.0,2019-03-24
167,970.0,31805240.0,Capão do Leão (Pelotas),Inmet,M,-52.40722,-31.8025,13.0,2019-07-18
168,975.0,20454129.0,Alegre,Inmet,M,-41.48885,-20.75041,128.68,2006-10-25
169,1197.0,18294073.0,Ecoporanga,Inmet,M,-40.73641,-18.29152,224.0,2017-03-17
170,1198.0,19404053.0,Marilândia,Inmet,M,-40.53983,-19.40718,95.0,2017-03-20
171,1199.0,22654404.0,Rio Claro (Passa Três),Inmet,M,-44.04092,-22.65358,516.0,2016-06-06
172,1200.0,20384118.0,Venda Nova do Imigrante,Inmet,M,-41.18993,-20.38542,722.0,2017-02-11
173,1245.0,16075769.0,Cáceres,Inmet,M,-57.69305,-16.07474,123.53,2014-01-01
176,1652.0,25835036.0,São Mateus do Sul,Inmet,M,-50.36899,-25.8356,780.21,2011-04-16
