,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,t_med_medio,t_max_med,t_min_med,v_vento_medio,v_rajada_max,ini_serie,fim_serie
109,20334345,Ouro Branco,Inmet,-43.75622,-20.55659,1048.2,19.70894335480093,34.04,6.706666666666666,2.1301870283632582,21.486666666666665,2006-07-28,2021-09-01
110,21064415,São João del Rei,Inmet,-44.25093,-21.1065,929.88,19.906611831701998,34.457142857142856,4.064285714285715,2.4025971096298964,27.378571428571423,2006-12-04,2021-09-01
111,23814540,São Sebastião,Inmet,-45.40253,-23.81072,24.0,24.229874772313288,38.23333333333333,13.633333333333333,3.3661728395061736,26.266666666666666,2017-12-03,2021-01-23
112,12803849,Salvador-Est. Rádio Marinha,Inmet,-38.49594,-12.80822,31.0,25.453331056466272,36.275,18.9,1.434,13.6,2018-03-09,2021-09-01
113,23724667,São Paulo-SESC Interlagos,Inmet,-46.67751,-23.72445,771.0,19.59738843351547,36.15,5.95,1.9233765938069207,17.525,2018-03-13,2021-09-01
114,10095927,Aripuanã,Inmet,-45.4236,-10.16583,105.0,24.681748858447488,36.3,11.65,2.6655342465753438,23.0,2018-12-31,2021-01-31
115,30545252,Encruzilhada do Sul,Inmet,-52.52467,-30.54316,252.0,18.11862249544627,36.7,0.55,2.6920400728597467,29.55,2018-03-15,2021-09-01
116,17244688,Paracatu,Inmet,-46.88167,-17.24436,705.0,24.050660291438984,37.625,9.725000000000001,2.089089253187613,17.96666666666667,2018-03-14,2021-09-01
117,15474755,Brasília,Inmet,-47.92576,-15.78934,1160.96,21.474337181488814,33.885714285714286,9.564285714285715,2.327249819852278,18.63571428571429,2007-06-12,2021-09-01
118,16384913,Goiânia,Inmet,-49.22022,-16.64284,727.3,23.68638368962548,38.228571428571435,7.2142857142857135,1.2258950039031995,19.142857142857142,2007-06-12,2021-09-01
119,5184067,Crateús,Inmet,-40.67213,-5.18664,298.19,28.12498914693384,39.51,18.79,2.1600641317547065,29.71,2011-10-31,2021-09-01
120,7074140,Picos,Inmet,-41.40404,-7.07102,232.91,28.91364374620523,40.91111111111112,17.000000000000004,2.3340137913088737,19.099999999999998,2011-11-01,2021-09-01
121,21344524,Varginha,Inmet,-45.4043,-21.56651,949.78,20.208123866570578,33.96666666666667,4.533333333333333,1.7766639894713665,21.0,2006-12-04,2021-09-01
122,20444638,Passos,Inmet,-46.63392,-20.74524,781.7,21.36386811685583,36.00666666666667,3.473333333333334,1.7145611060160248,23.09166666666667,2006-12-04,2021-09-01
123,3734101,Tianguá,Inmet,-41.01189,-3.73216,756.0,23.070796903460817,33.06666666666667,14.0,3.462163023679415,18.200000000000003,2018-03-15,2021-05-11
124,13264908,Porangatu,Inmet,-45.4236,-13.43333,396.0,25.807761194029844,,,1.0681094527363175,,2019-12-31,2020-07-29
125,15444436,Januaria,Inmet,-44.36631,-15.44809,468.0,25.826495901639344,38.65,9.95,2.0260688956433635,16.950000000000003,2016-06-22,2020-12-31
126,17434906,Morrinhos,Inmet,-49.1017,-17.74507,751.09,22.832126718909496,38.1,6.1230769230769235,1.6733587041373923,21.93846153846154,2007-06-12,2021-09-01
127,10114818,Palmas,Inmet,-48.30181,-10.19074,291.87,27.391162663383984,40.33571428571428,17.064285714285713,1.5362422331766608,20.735714285714288,2007-03-14,2021-01-31
128,12364752,Paranã,Inmet,-47.87192,-12.61489,284.96,26.15778258626621,40.15,12.391666666666666,1.207307689123262,19.225,2007-03-14,2021-01-31
129,18524644,Patos de Minas,Inmet,-46.44061,-18.52067,950.0,22.3369870009285,34.55,5.199999999999999,1.47217270194986,18.3,2018-12-31,2021-09-01
130,21925049,Tupã,Inmet,-50.49025,-21.92725,498.0,24.05737704918034,39.900000000000006,5.949999999999999,2.6801433121019125,23.0,2019-01-01,2021-03-31
131,7074036,Campos Sales,Inmet,-40.36268,-7.07773,577.95,25.96186525284068,38.84285714285714,16.400000000000002,2.1065887761297604,19.12857142857143,2011-12-09,2020-03-16
132,16844244,Aracuai,Inmet,-42.44056,-16.84889,308.0,25.378711293260483,39.4,9.1,1.4147609289617489,28.133333333333336,2017-12-31,2020-12-31
133,21475613,Jardim,Inmet,-56.13772,-21.47853,252.47,24.921967495998263,39.089999999999996,3.5099999999999993,1.6225139440856655,20.51,2011-08-03,2021-09-01
134,8613859,Floresta,Inmet,-38.58406,-8.59879,327.42,27.367301619828275,40.17999999999999,16.4,3.1124671805880806,26.689999999999998,2011-11-03,2021-09-01
135,9803661,Arapiraca,Inmet,-36.6192,-9.80455,236.84,24.70290971680109,37.55714285714286,15.957142857142856,2.0873018041460645,15.342857142857143,2000-01-01,2021-04-30
136,21464757,São Simão,Inmet,-47.57944,-21.46111,620.0,23.852372262773702,,,1.8905109489051093,,2019-07-03,2021-03-31
137,22145376,Angélica,Inmet,-53.76374,-22.14808,347.0,25.23995901639345,39.3,5.1,2.402240437158468,23.6,2018-12-31,2020-07-31
138,21245645,Bonito,Inmet,-56.45056,-21.24667,329.0,25.435355191256832,38.849999999999994,3.45,3.132295081967211,23.15,2018-12-31,2020-07-31
139,16674861,Silvânia,Inmet,-48.61817,-16.67979,952.0,22.099002318264603,36.49090909090909,8.254545454545458,1.1881584699453556,18.209090909090907,2010-10-11,2021-09-01
140,11594684,Dianópolis,Inmet,-46.84721,-11.59445,727.87,24.928323604901493,37.28181818181818,16.19090909090909,2.887496232820002,21.65454545454546,2008-08-30,2020-07-31
141,11194961,Formoso do Araguaia,Inmet,-49.60822,-11.88738,215.2,26.954510849351,40.60000000000001,15.569230769230769,1.731591774194233,25.23076923076923,2008-05-01,2021-01-03
142,5644811,Araguatins,Inmet,-48.11184,-5.64373,130.71,27.260592896174856,41.49,17.729999999999997,1.5816302160953808,34.58,2009-03-12,2021-01-26
