idGrade,x,y,t_med_medio,v_vento_medio
242,-50.0,1.5,26.818,1.58
243,-49.5,1.5,26.856,1.569
244,-49.0,1.5,26.904,1.589
245,-70.5,1.0,25.89,0.781
246,-70.0,1.0,25.89,0.781
247,-69.5,1.0,25.958,0.771
248,-69.0,1.0,25.946,0.773
249,-68.5,1.0,25.934,0.774
250,-68.0,1.0,25.968,0.793
251,-67.5,1.0,26.0,0.818
252,-67.0,1.0,26.0,0.818
253,-66.5,1.0,26.055,0.826
254,-66.0,1.0,26.187,0.864
255,-65.5,1.0,26.372,0.913
256,-65.0,1.0,26.501,0.944
257,-64.5,1.0,26.621,0.944
258,-64.0,1.0,26.734,0.949
259,-63.5,1.0,26.785,0.965
260,-63.0,1.0,26.826,0.977
261,-62.5,1.0,26.91,1.005
262,-62.0,1.0,26.979,1.036
263,-61.5,1.0,27.054,1.086
264,-61.0,1.0,27.098,1.12
265,-60.5,1.0,27.138,1.151
266,-60.0,1.0,27.13,1.122
267,-59.5,1.0,27.118,1.076
268,-59.0,1.0,27.094,1.032
269,-58.5,1.0,27.038,0.999
270,-58.0,1.0,26.989,0.994
271,-57.5,1.0,26.969,0.988
272,-57.0,1.0,26.938,0.993
273,-56.5,1.0,26.917,1.01
274,-56.0,1.0,26.905,1.046
275,-55.5,1.0,26.915,1.117
276,-55.0,1.0,26.895,1.153
277,-54.5,1.0,26.859,1.205
278,-54.0,1.0,26.836,1.272
279,-53.5,1.0,26.791,1.362
280,-53.0,1.0,26.771,1.43
281,-52.5,1.0,26.708,1.507
282,-52.0,1.0,26.583,1.572
283,-51.5,1.0,26.427,1.592
284,-51.0,1.0,26.594,1.63
285,-50.5,1.0,26.782,1.639
286,-50.0,1.0,26.855,1.596
287,-49.5,1.0,26.904,1.571
288,-49.0,1.0,26.939,1.573
289,-71.0,0.5,25.89,0.781
290,-70.5,0.5,25.822,0.776
291,-70.0,0.5,25.837,0.777
292,-69.5,0.5,25.912,0.77
293,-69.0,0.5,25.939,0.774
294,-68.5,0.5,25.974,0.795
295,-68.0,0.5,25.942,0.789
296,-67.5,0.5,25.939,0.797
297,-67.0,0.5,25.929,0.793
298,-66.5,0.5,25.992,0.809
299,-66.0,0.5,26.149,0.849
300,-65.5,0.5,26.317,0.889
301,-65.0,0.5,26.486,0.9
302,-64.5,0.5,26.603,0.91
303,-64.0,0.5,26.678,0.904
304,-63.5,0.5,26.694,0.891
305,-63.0,0.5,26.739,0.891
306,-62.5,0.5,26.793,0.916
307,-62.0,0.5,26.862,0.937
308,-61.5,0.5,26.933,0.968
309,-61.0,0.5,26.987,0.989
310,-60.5,0.5,27.023,1.022
311,-60.0,0.5,27.031,1.007
312,-59.5,0.5,27.042,0.983
313,-59.0,0.5,27.04,0.959
314,-58.5,0.5,26.979,0.941
315,-58.0,0.5,26.977,0.951
316,-57.5,0.5,26.964,0.945
317,-57.0,0.5,26.937,0.953
318,-56.5,0.5,26.916,0.973
319,-56.0,0.5,26.908,1.015
320,-55.5,0.5,26.909,1.09
321,-55.0,0.5,26.887,1.145
322,-54.5,0.5,26.862,1.207
323,-54.0,0.5,26.855,1.282
324,-53.5,0.5,26.802,1.342
325,-53.0,0.5,26.78,1.433
326,-52.5,0.5,26.722,1.512
327,-52.0,0.5,26.628,1.602
328,-51.5,0.5,26.441,1.618
329,-51.0,0.5,26.825,1.773
330,-50.5,0.5,26.908,1.714
331,-50.0,0.5,26.906,1.611
332,-49.5,0.5,26.943,1.58
333,-49.0,0.5,27.002,1.606
334,-48.5,0.5,27.037,1.639
335,-48.0,0.5,27.047,1.658
336,-71.0,0.0,25.8,0.775
337,-70.5,0.0,25.816,0.776
338,-70.0,0.0,25.903,0.768
339,-69.5,0.0,25.907,0.77
340,-69.0,0.0,25.975,0.798
341,-68.5,0.0,25.951,0.793
342,-68.0,0.0,25.924,0.787
343,-67.5,0.0,25.9,0.783
344,-67.0,0.0,25.893,0.782
345,-66.5,0.0,25.955,0.799
346,-66.0,0.0,26.108,0.836
347,-65.5,0.0,26.297,0.878
348,-65.0,0.0,26.474,0.885
349,-64.5,0.0,26.582,0.885
350,-64.0,0.0,26.623,0.855
351,-63.5,0.0,26.609,0.831
352,-63.0,0.0,26.616,0.817
353,-62.5,0.0,26.67,0.838
354,-62.0,0.0,26.765,0.868
355,-61.5,0.0,26.866,0.899
356,-61.0,0.0,26.913,0.916
357,-60.5,0.0,26.95,0.944
358,-60.0,0.0,26.958,0.929
359,-59.5,0.0,26.985,0.918
360,-59.0,0.0,26.985,0.899
361,-58.5,0.0,26.964,0.895
362,-58.0,0.0,26.973,0.906
363,-57.5,0.0,26.969,0.906
364,-57.0,0.0,26.943,0.91
365,-56.5,0.0,26.918,0.924
366,-56.0,0.0,26.902,0.97
367,-55.5,0.0,26.892,1.051
368,-55.0,0.0,26.879,1.131
369,-54.5,0.0,26.874,1.235
370,-54.0,0.0,26.841,1.31
371,-53.5,0.0,26.797,1.359
372,-53.0,0.0,26.766,1.414
373,-52.5,0.0,26.763,1.497
374,-52.0,0.0,26.794,1.617
375,-51.5,0.0,27.021,1.853
376,-51.0,0.0,27.32,2.098
377,-50.5,0.0,27.014,1.756
378,-50.0,0.0,26.919,1.588
379,-49.5,0.0,26.967,1.575
380,-49.0,0.0,27.061,1.652
381,-48.5,0.0,27.134,1.722
382,-48.0,0.0,27.108,1.7
383,-47.5,0.0,27.135,1.726
384,-47.0,0.0,27.087,1.717
385,-46.5,0.0,27.009,1.693
386,-46.0,0.0,26.979,1.704
387,-70.5,-0.5,25.806,0.775
388,-70.0,-0.5,25.895,0.767
389,-69.5,-0.5,25.901,0.77
390,-69.0,-0.5,25.978,0.8
391,-68.5,-0.5,25.956,0.794
392,-68.0,-0.5,25.93,0.789
393,-67.5,-0.5,25.907,0.784
394,-67.0,-0.5,25.912,0.786
395,-66.5,-0.5,25.982,0.805
396,-66.0,-0.5,26.145,0.84
397,-65.5,-0.5,26.349,0.863
398,-65.0,-0.5,26.51,0.877
399,-64.5,-0.5,26.598,0.864
400,-64.0,-0.5,26.584,0.825
401,-63.5,-0.5,26.533,0.776
402,-63.0,-0.5,26.479,0.745
403,-62.5,-0.5,26.539,0.767
404,-62.0,-0.5,26.692,0.825
405,-61.5,-0.5,26.807,0.866
406,-61.0,-0.5,26.871,0.9
407,-60.5,-0.5,26.884,0.889
408,-60.0,-0.5,26.894,0.876
409,-59.5,-0.5,26.915,0.864
410,-59.0,-0.5,26.927,0.856
411,-58.5,-0.5,26.949,0.855
412,-58.0,-0.5,26.973,0.862
413,-57.5,-0.5,26.97,0.861
414,-57.0,-0.5,26.96,0.863
415,-56.5,-0.5,26.922,0.867
416,-56.0,-0.5,26.883,0.903
417,-55.5,-0.5,26.865,0.99
418,-55.0,-0.5,26.867,1.12
419,-54.5,-0.5,26.881,1.277
420,-54.0,-0.5,26.865,1.376
421,-53.5,-0.5,26.822,1.408
422,-53.0,-0.5,26.781,1.41
423,-52.5,-0.5,26.774,1.457
424,-52.0,-0.5,26.816,1.536
425,-51.5,-0.5,26.935,1.673
426,-51.0,-0.5,27.009,1.734
427,-50.5,-0.5,26.916,1.579
428,-50.0,-0.5,26.902,1.496
429,-49.5,-0.5,26.983,1.545
430,-49.0,-0.5,27.178,1.746
431,-48.5,-0.5,27.444,2.078
432,-48.0,-0.5,27.153,1.72
433,-47.5,-0.5,27.355,1.908
434,-47.0,-0.5,27.171,1.779
435,-46.5,-0.5,26.995,1.671
436,-46.0,-0.5,26.968,1.704
437,-45.5,-0.5,26.987,1.765
438,-45.0,-0.5,26.987,1.818
439,-44.5,-0.5,27.019,1.845
440,-70.5,-1.0,25.77,0.879
441,-70.0,-1.0,25.848,0.847
442,-69.5,-1.0,25.949,0.855
443,-69.0,-1.0,25.987,0.804
444,-68.5,-1.0,25.972,0.799
445,-68.0,-1.0,25.971,0.794
446,-67.5,-1.0,25.95,0.79
447,-67.0,-1.0,25.976,0.795
448,-66.5,-1.0,26.088,0.83
449,-66.0,-1.0,26.225,0.859
450,-65.5,-1.0,26.391,0.871
451,-65.0,-1.0,26.543,0.881
452,-64.5,-1.0,26.609,0.863
453,-64.0,-1.0,26.579,0.818
454,-63.5,-1.0,26.493,0.754
455,-63.0,-1.0,26.402,0.707
456,-62.5,-1.0,26.478,0.739
457,-62.0,-1.0,26.673,0.814
458,-61.5,-1.0,26.796,0.857
459,-61.0,-1.0,26.847,0.878
460,-60.5,-1.0,26.835,0.854
461,-60.0,-1.0,26.831,0.834
462,-59.5,-1.0,26.86,0.828
463,-59.0,-1.0,26.903,0.826
464,-58.5,-1.0,26.962,0.818
465,-58.0,-1.0,27.001,0.825
466,-57.5,-1.0,27.009,0.818
467,-57.0,-1.0,26.986,0.81
468,-56.5,-1.0,26.929,0.802
469,-56.0,-1.0,26.844,0.79
470,-55.5,-1.0,26.807,0.845
471,-55.0,-1.0,26.84,1.079
472,-54.5,-1.0,26.921,1.394
473,-54.0,-1.0,26.95,1.569
474,-53.5,-1.0,26.877,1.531
475,-53.0,-1.0,26.786,1.428
476,-52.5,-1.0,26.75,1.405
477,-52.0,-1.0,26.749,1.414
478,-51.5,-1.0,26.778,1.432
479,-51.0,-1.0,26.778,1.391
480,-50.5,-1.0,26.758,1.325
481,-50.0,-1.0,26.843,1.371
482,-49.5,-1.0,26.959,1.461
483,-49.0,-1.0,27.093,1.565
484,-48.5,-1.0,27.237,1.722
485,-48.0,-1.0,26.905,1.368
486,-47.5,-1.0,27.023,1.632
487,-47.0,-1.0,26.98,1.625
488,-46.5,-1.0,26.951,1.623
489,-46.0,-1.0,26.937,1.742
490,-45.5,-1.0,26.974,1.883
491,-45.0,-1.0,26.996,1.91
492,-44.5,-1.0,27.031,1.878
493,-44.0,-1.0,27.08,1.922
494,-70.0,-1.5,25.831,0.858
495,-69.5,-1.5,25.947,0.874
496,-69.0,-1.5,25.994,0.856
497,-68.5,-1.5,25.994,0.837
498,-68.0,-1.5,25.991,0.826
