,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
108,191,22774341,MESQUITA- CIEP 431 Municipalizado Padre Nino Miraldi,CEMADEN,P,-43.4143,-22.7694,,2015-05-12
109,192,22664349,NOVA IGUAÇU- E. M. ADRIANOPOLIS,CEMADEN,P,-43.4931,-22.6611,,2015-05-13
110,193,2854482,ILHA GRANDE - Escola Estadual Marocas Lima,CEMADEN,P,-41.8179,-2.85238,,2015-05-26
111,194,22144291,SÃO JOSÉ DO VALE DO RIO PRETO - São José do Vale do Rio Preto,CEMADEN,H,-42.9168,-22.1484,,2017-02-01
112,197,16344894,ANÁPOLIS - Rio das Antas,CEMADEN,H,-48.94851,-16.32492,,2017-03-01
113,205,25315254,NOVA LARANJEIRAS - Centro,CEMADEN,P,-52.53703,-25.30928,,2015-02-25
114,207,5804196,SANTA CRUZ DOS MILAGRES - PrefeituraMunicipal,CEMADEN,P,-41.95542,-5.79966,,2015-05-27
115,208,22894372,RIO DE JANEIRO- Santa Cruz,CEMADEN,P,-43.7175,-22.8897,,2015-04-28
116,210,3464237,LUZILÂNDIA - GuardaMunicipal,CEMADEN,P,-42.37197,-3.45918,,2015-05-27
117,214,3174186,BURITI DOS LOPES - SecretariaMunicipaldeInsfraestrutura,CEMADEN,P,-41.86237,-3.16735,,2015-05-27
118,215,5324155,CASTELO DO PIAUÍ - RuaDomPedroII,CEMADEN,P,-41.5517,-5.32036,,2015-05-27
119,216,22604371,PARACAMBI - Escola Municipal Dr. Carlos Nabuco,CEMADEN,P,-43.7142,-22.5985,,2015-05-28
120,217,4174289,MIGUEL ALVES - Secretaria Municipal de Educação,CEMADEN,P,-42.89441,-4.16927,,2015-06-01
121,218,4594286,UNIÃO - INSS Previdencia Social,CEMADEN,P,-42.85881,-4.59234,,2015-06-01
122,219,6784301,FLORIANO - U.E. Dom Edilberto,CEMADEN,P,-43.00984,-6.78248,,2015-06-01
123,220,3424189,CAXINGÓ - Caxingo,CEMADEN,P,-41.89152,-3.42282,,2015-06-01
124,225,25495361,CAPITÃO LEÔNIDAS MARQUES- Rua Tarobé,CEMADEN,P,-53.612,-25.494,,2014-07-25
125,227,22564331,DUQUE DE CAXIAS - Rio Capivari e Rio Joao Pinto,CEMADEN,H,-43.3132,-22.5697,,2017-02-01
126,228,21674974,LINS - Lins,CEMADEN,H,-49.7496,-21.6776,,2014-12-18
127,230,25484883,MORRETES- Vila dos Ferroviários,CEMADEN,P,-48.834,-25.478,8.48,2014-07-25
128,234,25444888,MORRETES - Parque Breckenfeld,CEMADEN,P,-48.877,-25.437,8.48,2015-02-05
129,236,25524854,PARANAGUÁ- Padre Jackson,CEMADEN,P,-48.543,-25.517,,2015-02-05
130,238,25404919,PINHAIS- Jardim Atuba,CEMADEN,P,-49.193,-25.4,,2014-07-25
131,239,25444916,PINHAIS- Maria Antonieta,CEMADEN,P,-49.165,-25.442,,2014-07-25
132,240,15734827,ÁGUAS LINDAS DE GOIÁS - Mansões Centro Oeste,CEMADEN,P,-48.275,-15.733,,2017-04-29
133,241,25394919,PINHAIS- Perdizes,CEMADEN,P,-49.19,-25.394,,2014-07-25
134,243,23004327,RIO DE JANEIRO- São Conrado,CEMADEN,P,-43.269,-22.995,,2015-05-26
135,247,25404918,PINHAIS- Jardim Claudia,CEMADEN,P,-49.18,-25.4,,2014-07-25
136,266,26275268,PATO BRANCO - Alvorada,CEMADEN,P,-52.683,-26.267,,2014-07-25
137,269,9313596,MURICI - Rio Mundau,CEMADEN,H,-35.9507,-9.314,,2021-01-20
138,271,26205269,PATO BRANCO - Fraron,CEMADEN,P,-52.692,-26.198,,2014-07-25
139,272,26235267,PATO BRANCO - Centro,CEMADEN,P,-52.673,-26.228,,2014-07-25
140,274,25224935,ITAPERUÇU - Centro,CEMADEN,P,-49.351,-25.219,,2014-07-25
141,275,23415337,IVATÉ - Centro,CEMADEN,P,-53.372,-23.406,,2014-07-25
142,276,24284973,JAGUARIAÍVA - Primavera I,CEMADEN,P,-49.731,-24.278,,2014-07-25
143,277,24264972,JAGUARIAÍVA - Ciane,CEMADEN,P,-49.716,-24.26,,2014-07-25
144,279,2115649,TERRA SANTA - Centro,CEMADEN,P,-35.9507,-9.314,,2021-01-20
145,280,4265599,ITAITUBA - Floresta,CEMADEN,P,-55.99133,-4.2668,,2021-01-20
146,281,25355424,SÃO MIGUEL DO IGUAÇU- Centro,CEMADEN,P,-54.245,-25.349,,2014-07-25
147,282,25375427,SÃO MIGUEL DO IGUAÇU- Rua Noé N. de Medeiros,CEMADEN,P,-54.27,-25.37306,,2014-08-12
148,283,25695262,SAUDADE DO IGUAÇU- Prefeitura Municipal,CEMADEN,P,-52.6174,-25.6916,,2015-02-19
149,284,26235107,UNIÃO DA VITÓRIA- Sagrada Familia,CEMADEN,P,-51.069,-26.232,,2014-07-25
150,285,22864331,RIO DE JANEIRO- Vicente de Carvalho,CEMADEN,P,-43.3076,-22.8609,,2015-05-15
151,286,22814331,RIO DE JANEIRO- Vigário Geral,CEMADEN,P,-43.3101,-22.8131,,2015-05-04
152,287,22774339,SÃO JOÃO DE MERITI- Creche Municipal Favo de Mel,CEMADEN,P,-43.391,-22.7734,,2015-05-07
153,288,22784338,SÃO JOÃO DE MERITI- Escola Municipal Manoel Antônio Sendas,CEMADEN,P,-43.3787,-22.784,,2015-05-05
154,290,28724930,IÇARA- Primeiro de Maio,CEMADEN,P,-49.30026,-28.72264,,2015-02-24
155,291,27085213,IPUMIRIM- Prefeitura Municipal,CEMADEN,P,-52.13426,-27.0757,,2015-02-26
156,292,26695014,PAPANDUVA- Nova Cultura,CEMADEN,P,-50.14341,-26.6898,,2015-03-17
157,293,27284939,PRESIDENTE NEREU- Prefeitura Municipal,CEMADEN,P,-49.39028,-27.27812,,2015-02-24
158,295,1464848,BELÉM - Canal da Quintino Bocaiuva,CEMADEN,H,-48.48355,-1.46778,,2017-03-01
159,299,26884923,INDAIAL - Carijós,CEMADEN,P,-49.23332,-26.88128,,2015-02-08
160,300,26894919,INDAIAL - Encano,CEMADEN,P,-49.19313,-26.89003,,2015-02-10
161,301,23875288,TUNEIRAS DO OESTE - Centro,CEMADEN,P,-52.877,-23.872,,2014-07-25
162,302,23775332,UMUARAMA - Jardim Kennedy,CEMADEN,P,-53.321,-23.769,,2014-07-25
163,303,26255110,UNIÃO DA VITÓRIA - Rio da Praia,CEMADEN,P,-51.1,-26.251,,2014-07-25
164,304,26504909,JARAGUÁ DO SUL - Defesa Civil,CEMADEN,P,-49.0896,-26.5051,,2015-02-11
165,305,26434908,JARAGUÁ DO SUL - Corpo de Bombeiros Voluntários,CEMADEN,P,-49.07919,-26.42641,,2015-02-11
166,306,28434885,LAGUNA - Bananal,CEMADEN,P,-48.8506,-28.43345,,2015-02-27
167,307,26094980,RIO NEGRO - R. Emílio Von Linzingen,CEMADEN,P,-49.8,-26.089,,2014-07-25
168,308,26124978,RIO NEGRO - Vila São Judas Tadeu,CEMADEN,P,-49.776,-26.118,,2014-07-25
169,309,25174931,RIO BRANCO DO SUL - Rio Branco do Sul l,CEMADEN,P,-49.309,-25.167,,2014-07-25
170,310,25204932,RIO BRANCO DO SUL - Centro II,CEMADEN,P,-49.324,-25.205,,2014-07-25
171,311,25454910,PIRAQUARA - Jardim Santa Mônica,CEMADEN,P,-49.101,-25.45,,2014-07-25
172,312,25464915,PIRAQUARA - Vila Mariana,CEMADEN,P,-49.147,-25.46,,2014-07-25
173,313,25474906,PIRAQUARA - Horto Municipal,CEMADEN,P,-49.058,-25.472,,2014-07-25
174,314,28804972,MORRO GRANDE - Morro Grande,CEMADEN,P,-49.71978,-28.80268,,2015-02-05
175,315,12943838,SALVADOR - Piatu,CEMADEN,H,-38.38292,-12.94755,,2021-01-20
176,316,27894886,PALHOÇA - Pinheira,CEMADEN,P,-48.5856,-27.88742,,2016-02-19
177,317,27075316,PALMITOS - Prefeitura Municipal,CEMADEN,P,-53.15862,-27.06812,,2015-02-23
178,318,21044197,NATIVIDADE- Centro,CEMADEN,P,-41.97819,-21.04321,,2021-02-01
179,319,29184999,PRAIA GRANDE - Serra do Faxinal,CEMADEN,P,-49.99022,-29.18163,,2015-03-09
180,323,26775001,SANTA TEREZINHA- UBS Centro,CEMADEN,P,-50.00846,-26.77489,,2015-03-05
181,324,26394859,SÃO FRANCISCO DO SUL- Praia do Ervino,CEMADEN,P,-48.5885,-26.38688,,2015-02-20
182,325,27155231,SEARA- Secretaria Municipal da Agricultura,CEMADEN,P,-52.30892,-27.15106,,2015-02-28
183,327,22414298,TERESÓPOLIS - Panorama,CEMADEN,P,-42.981,-22.418,,2014-08-06
184,329,23614689,COTIA - Cotia,CEMADEN,H,-46.8921,-23.6087,,2015-08-24
185,330,23014683,ITATIBA - COORDENADORIA DA DEFESA CIVIL DE ITATIBA,CEMADEN,P,-46.82669,-22.98472,,2015-08-15
186,331,22234992,MARÍLIA- Avenida Carlos Artencio,CEMADEN,H,-49.922,-22.23,,2014-12-01
187,332,23494699,SANTANA DE PARNAÍBA- Cururuquara,CEMADEN,P,-46.99519,-23.48705,,2015-08-24
188,333,23524713,SÃO ROQUE - Secretária de Agricultura e Abastecimento,CEMADEN,P,-47.13338,-23.53423,,2015-05-12
189,334,29645046,RIOZINHO - Centro,CEMADEN,P,-50.45962,-29.64072,,2015-03-06
190,335,29705197,VENÂNCIO AIRES - Gomes,CEMADEN,P,-51.97012,-29.69514,,2015-02-05
191,336,22724352,NOVA IGUAÇU- EMEI Olga Celestina Gilbert Almeida,CEMADEN,P,-43.523,-22.718,,2015-05-13
192,337,22924318,RIO DE JANEIRO- Catete,CEMADEN,P,-43.176,-22.923,,2015-05-26
193,338,22924323,RIO DE JANEIRO- CIEP Samuel Wainer,CEMADEN,P,-43.227,-22.921,,2015-05-20
194,339,22874327,RIO DE JANEIRO- Higienópolis,CEMADEN,P,-43.265,-22.869,,2015-05-26
195,340,22944324,RIO DE JANEIRO- Tijuca,CEMADEN,P,-43.241,-22.943,,2015-05-20
196,341,22824726,SUMARÉ - Sumaré,CEMADEN,H,-47.2644,-22.8177,,2014-10-16
197,344,22564745,LIMEIRA - Nossa Senhora das Dores,CEMADEN,H,-47.451,-22.56,,2014-12-02
198,345,28375389,IJUÍ - Centro,CEMADEN,P,-53.91609,-28.38866,,2014-12-09
199,346,19514337,ITABIRA - Senhora do Carmo,CEMADEN,P,-43.374,-19.513,,2014-12-16
200,347,28515090,VACARIA - Santana,CEMADEN,P,-50.909,-28.514,,2014-12-08
201,348,20734288,VIÇOSA - Vale do Sol,CEMADEN,P,-42.882,-20.732,,2014-12-19
202,349,23604676,TABOÃO DA SERRA - Parque Assunção,CEMADEN,P,-46.762,-23.604,,2014-12-02
203,350,19844318,JOÃO MONLEVADE - Cruzeiro Celeste,CEMADEN,P,-43.18,-19.845,,2014-12-16
204,351,22534665,LINDÓIA - Jardim Lindoia,CEMADEN,P,-46.651,-22.534,,2014-12-03
205,353,12943848,SALVADOR - Fazenda Grande do Retiro,CEMADEN,P,-38.48507,-12.93764,,2015-02-05
206,354,24024640,PRAIA GRANDE - Cidade da Criança,CEMADEN,P,-46.59728,-24.07856,,2015-04-28
207,355,22874679,MORUNGABA - Centro,CEMADEN,P,-46.791,-22.872,,2015-08-14
208,356,19814144,MUTUM - Centro,CEMADEN,P,-41.44,-19.814,,2014-12-19
209,357,23524681,OSASCO - Quitauna,CEMADEN,P,-46.811,-23.524,,2015-01-05
210,358,31655236,PELOTAS - Sinott,CEMADEN,P,-52.36,-31.65,,2014-12-10
211,359,27665058,SÃO JOSÉ DO CERRITO - Prefeitura Municipal,CEMADEN,P,-50.57888,-27.65962,,2015-03-05
212,360,29224981,SÃO JOÃO DO SUL - Centro,CEMADEN,P,-49.80934,-29.22411,,2015-02-24
213,361,28635604,SÃO BORJA - Passo,CEMADEN,P,-56.042,-28.632,,2014-12-08
214,362,29685379,SANTA MARIA - Presidente João Goulart,CEMADEN,P,-53.791,-29.681,,2014-12-09
215,363,24004646,PRAIA GRANDE - Sítio do Campo,CEMADEN,P,-46.40595,-23.98791,,2015-05-12
216,364,22544477,QUELUZ - Centro,CEMADEN,P,-44.77291,-22.53786,,2015-08-11
217,365,26735272,QUILOMBO - Centro,CEMADEN,P,-52.71834,-26.72645,,2015-02-28
218,366,27665364,REDENTORA - Centro,CEMADEN,P,-53.643,-27.662,,2014-12-09
219,367,22794340,SÃO JOÃO DE MERITI- CIEP Municipalizado 132 São João Bosco,CEMADEN,P,-43.4,-22.791,,2015-05-12
220,369,22784336,SÃO JOÃO DE MERITI- Defesa Civil,CEMADEN,P,-43.363,-22.784,,2015-05-12
221,371,22674501,HIDRO VAISALA -TESTES,CEMADEN,H,-44.99553,-22.67413,,2020-09-01
222,372,22714365,SEROPÉDICA- E.M. COLETIVO SANTA ALICE,CEMADEN,P,-43.654,-22.709,,2015-05-13
223,373,21854228,CANTAGALO - Boa sorte,CEMADEN,P,-42.274,-21.854,,2017-02-01
224,374,15254023,ITAPETINGA - Itapetinga,CEMADEN,H,-40.2332,-15.242,,2017-02-01
225,389,23664655,SANTO ANDRÉ - Vila Príncipe de Gales,CEMADEN,P,-46.553,-23.664,,2014-07-25
226,412,12933843,SALVADOR - Itapuã,CEMADEN,P,-38.36903,-12.94637,,2016-11-22
227,413,22734333,BELFORD ROXO- Parque Fluminense,CEMADEN,P,-43.331,-22.7307,,2015-06-02
228,417,20784167,GUAÇUÍ - Centro,CEMADEN,P,-41.676,-20.772,,2017-01-01
229,418,21904227,CANTAGALO - Euclidelândia,CEMADEN,P,-42.261,-21.908,,2017-02-01
230,419,14813927,ITABUNA - Itabuna,CEMADEN,H,-39.2778,-14.7992,,2017-02-01
231,423,20525465,CAMPO GRANDE -Corrego Anhanduizinho,CEMADEN,H,-54.65684,-20.52862,,2021-04-07
232,424,16664931,GOIÂNIA - Ribeirao Anicuns,CEMADEN,H,-49.31578,-16.66546,,2017-03-01
233,447,5054275,TERESINA - E.M. Oscar Olimpio Cavalcante,CEMADEN,P,-42.74604,-5.04607,,2015-06-01
234,448,3724255,MATIAS OLÍMPIO - Prefeitura Municipal,CEMADEN,P,-42.5545,-3.71541,,2015-06-01
235,449,6774302,FLORIANO - Prefeitura Municipal,CEMADEN,P,-43.02118,-6.77444,,2015-06-01
236,451,5104274,TERESINA - CAIC Joao Mendes Olimpio de Melo,CEMADEN,P,-42.74268,-5.10189,,2015-06-01
237,452,5094280,TERESINA - CPRM,CEMADEN,P,-42.79912,-5.08766,,2015-06-01
238,453,4984282,TERESINA - 13o Batalhão da Policia Militar,CEMADEN,P,-42.81594,-4.98273,,2015-06-01
239,454,23684635,RIBEIRÃO PIRES - Ouro fino,CEMADEN,P,-46.351,-23.678,,2014-07-25
240,456,24134669,MONGAGUÁ - Agenor de Campos,CEMADEN,P,-46.691,-24.128,,2014-07-25
241,463,23044648,ATIBAIA - Boa Vista,CEMADEN,P,-46.48799,-23.0434,,2017-03-01
242,464,9273556,SÃO LUÍS DO QUITUNDE - São Luís do Quitunde,CEMADEN,H,-35.5651,-9.2782,,2017-06-01
243,467,3124015,MARCO - Marco,CEMADEN,P,-40.15,-3.118,,2015-06-02
244,483,21134167,BOM JESUS DO NORTE - Bom Jesus do Norte,CEMADEN,H,-41.6785,-21.1337,,2014-09-08
245,484,25504918,SÃO JOSÉ DOS PINHAIS- Afonso Pena,CEMADEN,P,-49.18,-25.503,906.0,2014-07-25
